Graduating Class,Fall Freshman Year,District,District Name,Graduates,Total Cohort,Graduation Rate,Graduation Rate Category
2018,2014,4860,Odebolt Arthur Battle Creek Ida Grove,65,66,98.48,90.1 - 100%
2018,2014,4869,Oelwein,62,76,81.58,80.1 - 90%
2018,2014,4878,Ogden,52,55,94.55,90.1 - 100%
2018,2014,4890,Okoboji,52,55,94.55,90.1 - 100%
2018,2014,4905,Olin Consolidated,,,,Not Reportable
2018,2014,4978,Orient-Macksburg,11,11,100.00,90.1 - 100%
2018,2014,4995,Osage,74,74,100.00,90.1 - 100%
2018,2014,5013,Oskaloosa,152,170,89.41,80.1 - 90%
2018,2014,5049,Ottumwa,259,284,91.20,90.1 - 100%
2018,2014,5121,Panorama,58,59,98.31,90.1 - 100%
2018,2014,5139,Paton-Churdan,11,11,100.00,90.1 - 100%
2018,2014,5160,PCM,65,66,98.48,90.1 - 100%
2018,2014,5163,Pekin,60,61,98.36,90.1 - 100%
2018,2014,5166,Pella,156,161,96.89,90.1 - 100%
2018,2014,5184,Perry,157,159,98.74,90.1 - 100%
2018,2014,5250,Pleasant Valley,369,378,97.62,90.1 - 100%
2018,2014,5256,Pleasantville,60,65,92.31,90.1 - 100%
2018,2014,5283,Pocahontas Area,44,49,89.80,80.1 - 90%
2018,2014,5310,Postville,41,52,78.85,70.1 - 80%
2018,2014,5325,Prairie Valley,74,74,100.00,90.1 - 100%
2018,2014,5463,Red Oak,68,76,89.47,80.1 - 90%
2018,2014,5486,Remsen-Union,,,,Not Reportable
2018,2014,5508,Riceville,29,31,93.55,90.1 - 100%
2018,2014,5510,Riverside,36,39,92.31,90.1 - 100%
2018,2014,5607,Rock Valley,50,50,100.00,90.1 - 100%
2018,2014,5643,Roland-Story,76,80,95.00,90.1 - 100%
2018,2014,5697,Rudd-Rockford-Marble Rk,46,47,97.87,90.1 - 100%
2018,2014,5724,Ruthven-Ayrshire,13,14,92.86,90.1 - 100%
2018,2014,5751,St Ansgar,51,51,100.00,90.1 - 100%
2018,2014,5805,Saydel,94,101,93.07,90.1 - 100%
2018,2014,5823,Schaller-Crestland,,,,Not Reportable
2018,2014,5832,Schleswig,,,,Not Reportable
2018,2014,5877,Sergeant Bluff-Luton,113,114,99.12,90.1 - 100%
2018,2014,5895,Seymour,14,15,93.33,90.1 - 100%
2018,2014,5922,West Fork,55,56,98.21,90.1 - 100%
2018,2014,5949,Sheldon,75,86,87.21,80.1 - 90%
2018,2014,5976,Shenandoah,78,79,98.73,90.1 - 100%
2018,2014,5994,Sibley-Ocheyedan,60,64,93.75,90.1 - 100%
2018,2014,6003,Sidney,29,30,96.67,90.1 - 100%
2018,2014,6012,Sigourney,40,44,90.91,90.1 - 100%
2018,2014,6030,Sioux Center,76,96,79.17,70.1 - 80%
2018,2014,6035,Sioux Central,56,61,91.80,90.1 - 100%
2018,2014,6039,Sioux City,826,966,85.51,80.1 - 90%
2018,2014,6091,South Central Calhoun,66,70,94.29,90.1 - 100%
2018,2014,6093,Solon,107,113,94.69,90.1 - 100%
2018,2014,6094,Southeast Warren,38,40,95.00,90.1 - 100%
2018,2014,6095,South Hamilton,60,61,98.36,90.1 - 100%
2018,2014,6096,Southeast Webster Grand,,,,Not Reportable
2018,2014,6097,South Page,10,10,100.00,90.1 - 100%
2018,2014,6098,South Tama County,117,123,95.12,90.1 - 100%
2018,2014,6099,South O'Brien,41,50,82.00,80.1 - 90%
