Graduating Class,Fall Freshman Year,District,District Name,Graduates,Total Cohort,Graduation Rate,Graduation Rate Category
2016,2012,0108,Alden,,,,Not Reportable
2017,2013,4787,North Winneshiek,,,,Not Reportable
2009,2005,3705,Lineville-Clio,,,,Not Reportable
2017,2013,1675,Delwood,,,,Not Reportable
2014,2010,5160,PCM,65,70,92.90,90.1 - 100%
2016,2012,6246,Stratford,,,,Not Reportable
2010,2006,5160,PCM,74,86,86.10,80.1 - 90%
2013,2009,0171,Alta,51,51,100.00,90.1 - 100%
2017,2013,2727,Grundy Center,53,53,100.00,90.1 - 100%
2014,2010,1503,Creston,101,111,91.00,90.1 - 100%
2011,2007,3705,Lineville-Clio,,,,Not Reportable
2009,2005,4725,Newton,220,254,86.60,80.1 - 90%
2009,2005,5256,Pleasantville,53,55,96.40,90.1 - 100%
2017,2013,4041,Maquoketa,123,133,92.50,90.1 - 100%
2017,2013,3150,Iowa Falls,94,100,94.00,90.1 - 100%
2017,2013,2403,Garner-Hayfield-Ventura,81,84,96.40,90.1 - 100%
2012,2008,2754,Guthrie Center,40,44,90.90,90.1 - 100%
2013,2009,1975,River Valley,24,26,92.30,90.1 - 100%
2011,2007,6937,West Burlington,49,56,87.50,80.1 - 90%
2010,2006,3231,Johnston,384,398,96.50,90.1 - 100%
2013,2009,2673,Nodaway Valley,58,60,96.70,90.1 - 100%
2009,2005,2709,Grinnell-Newburg,115,132,87.10,80.1 - 90%
2011,2007,1368,Columbus,50,65,76.90,70.1 - 80%
2014,2010,6700,Waco,28,31,90.30,90.1 - 100%
2013,2009,1206,Clarion-Goldfield,60,63,95.20,90.1 - 100%
2011,2007,1576,Dallas Center-Grimes,130,139,93.50,90.1 - 100%
2016,2012,4785,North Tama County,34,39,87.20,80.1 - 90%
2010,2006,4043,Maquoketa Valley,66,68,97.10,90.1 - 100%
2017,2013,3609,Lenox,35,36,97.20,90.1 - 100%
2010,2006,6039,Sioux City,748,945,79.20,70.1 - 80%
2016,2012,1863,Dubuque,701,781,89.80,80.1 - 90%
2012,2008,0918,Calamus-Wheatland,36,38,94.70,90.1 - 100%
2013,2009,2727,Grundy Center,47,49,95.90,90.1 - 100%
2017,2013,1638,Decorah,120,124,96.80,90.1 - 100%
2014,2010,0914,CAM,33,46,71.70,70.1 - 80%
2011,2007,4086,Marion,119,136,87.50,80.1 - 90%
2012,2008,6987,West Monona,49,51,96.10,90.1 - 100%
2012,2008,6030,Sioux Center,64,73,87.70,80.1 - 90%
2016,2012,3119,Interstate 35,62,65,95.40,90.1 - 100%
2015,2011,6101,Southeast Polk,445,456,97.60,90.1 - 100%
2017,2013,5643,Roland-Story,69,74,93.20,90.1 - 100%
2016,2012,1062,Center Point-Urbana,96,104,92.30,90.1 - 100%
2010,2006,6651,Villisca,22,24,91.70,90.1 - 100%
2016,2012,3600,Le Mars,158,163,96.90,90.1 - 100%
2009,2005,4774,North Fayette,76,82,92.70,90.1 - 100%
2010,2006,1044,Cedar Falls,349,363,96.10,90.1 - 100%
2014,2010,6035,Sioux Central,59,64,92.20,90.1 - 100%
2012,2008,0063,Akron Westfield,41,42,97.60,90.1 - 100%
2015,2011,1944,Eagle Grove,52,56,92.90,90.1 - 100%
2015,2011,2113,Essex,13,13,100.00,90.1 - 100%
2013,2009,4212,Melcher-Dallas,33,33,100.00,90.1 - 100%
2015,2011,2754,Guthrie Center,31,33,93.90,90.1 - 100%
2012,2008,2977,Highland,47,55,85.50,80.1 - 90%
2014,2010,0441,A-H-S-T,31,31,100.00,90.1 - 100%
2010,2006,0846,Brooklyn-Guernsey-Malcom,58,58,100.00,90.1 - 100%
2013,2009,2988,Hinton,37,38,97.40,90.1 - 100%
2015,2011,6460,Tri-Center,47,48,97.90,90.1 - 100%
2014,2010,0472,Ballard,106,112,94.60,90.1 - 100%
2014,2010,7056,Winterset,126,128,98.40,90.1 - 100%
2010,2006,2124,Estherville Lincoln Central,89,107,83.20,80.1 - 90%
2010,2006,6120,Spirit Lake,93,106,87.70,80.1 - 90%
2015,2011,6943,West Central,13,16,81.30,80.1 - 90%
2009,2005,4878,Ogden,60,72,83.30,80.1 - 90%
2011,2007,6098,South Tama County,96,108,88.90,80.1 - 90%
2014,2010,5139,Paton-Churdan,9,10,90.00,80.1 - 90%
2014,2010,3600,Le Mars,143,149,96.00,90.1 - 100%
2012,2008,2295,Forest City,86,92,93.50,90.1 - 100%
2012,2008,4033,Maple Valley,52,53,98.10,90.1 - 100%
2012,2008,1968,East Marshall,53,57,93.00,90.1 - 100%
2014,2010,5184,Perry,134,150,89.30,80.1 - 90%
2011,2007,5184,Perry,119,128,93.00,90.1 - 100%
2015,2011,4536,Mount Pleasant,140,156,89.70,80.1 - 90%
2015,2011,1215,Clarksville,17,18,94.40,90.1 - 100%
2012,2008,4269,Midland,25,31,80.70,80.1 - 90%
2016,2012,2169,Fairfield,112,132,84.90,80.1 - 90%
2010,2006,4774,North Fayette,71,73,97.30,90.1 - 100%
2013,2009,0981,Carlisle,102,110,92.70,90.1 - 100%
2009,2005,0171,Alta,40,43,93.00,90.1 - 100%
2016,2012,3195,Greene County,95,99,96.00,90.1 - 100%
2011,2007,6099,South O'Brien,42,48,87.50,80.1 - 90%
2010,2006,0504,Battle Creek-Ida Grove,76,78,97.40,90.1 - 100%
2016,2012,6509,Turkey Valley,24,24,100.00,90.1 - 100%
2015,2011,1602,Danville,49,55,89.10,80.1 - 90%
2013,2009,7002,Whiting,15,16,93.80,90.1 - 100%
2011,2007,5625,Rockwell City-Lytton,35,36,97.20,90.1 - 100%
2013,2009,1079,Central Lee,73,76,96.10,90.1 - 100%
2012,2008,1449,Corwith-Wesley,9,11,81.80,80.1 - 90%
2012,2008,1638,Decorah,115,117,98.30,90.1 - 100%
2017,2013,1350,Collins-Maxwell,35,36,97.20,90.1 - 100%
2013,2009,2088,Emmetsburg,51,53,96.20,90.1 - 100%
2016,2012,4033,Maple Valley-Anthon Oto,43,45,95.60,90.1 - 100%
2015,2011,6165,Stanton,13,13,100.00,90.1 - 100%
2011,2007,7110,Woodward-Granger,50,56,89.30,80.1 - 90%
2014,2010,6165,Stanton,16,19,84.20,80.1 - 90%
2015,2011,6750,Walnut,,,,Not Reportable
2010,2006,0977,Cardinal,47,50,94.00,90.1 - 100%
2012,2008,0225,Ames,283,310,91.30,90.1 - 100%
2012,2008,4446,Monticello,75,85,88.20,80.1 - 90%
2011,2007,6961,Western Dubuque,256,264,97.00,90.1 - 100%
2017,2013,7098,Woodbury Central,45,45,100.00,90.1 - 100%
2015,2011,6534,Underwood,39,40,97.50,90.1 - 100%
2009,2005,0018,Adair-Casey,29,30,96.70,90.1 - 100%
2011,2007,1093,Central Decatur,49,52,94.20,90.1 - 100%
2016,2012,2007,Eldora-New Providence,56,57,98.30,90.1 - 100%
2017,2013,6246,Stratford,,,,Not Reportable
2009,2005,0279,Aplington-Parkersburg,56,57,98.30,90.1 - 100%
2009,2005,6930,West Branch,56,63,88.90,80.1 - 90%
2010,2006,4356,Missouri Valley,74,77,96.10,90.1 - 100%
2011,2007,6091,Southern Cal,44,45,97.80,90.1 - 100%
2009,2005,6957,West Des Moines,584,627,93.10,90.1 - 100%
2012,2008,0234,Anamosa,101,112,90.20,90.1 - 100%
2017,2013,0513,Baxter,27,30,90.00,80.1 - 90%
2012,2008,6990,West Sioux,40,46,87.00,80.1 - 90%
2009,2005,1719,Denver,61,63,96.80,90.1 - 100%
2014,2010,6957,West Des Moines,628,676,92.90,90.1 - 100%
2010,2006,4905,Olin,13,17,76.50,70.1 - 80%
2010,2006,6741,Wall Lake View Auburn,71,73,97.30,90.1 - 100%
2017,2013,0243,Andrew,,,,Not Reportable
2010,2006,4890,Okoboji,76,80,95.00,90.1 - 100%
2014,2010,6937,West Burlington,47,55,85.50,80.1 - 90%
2014,2010,0355,Ar-We-Va,15,15,100.00,90.1 - 100%
2016,2012,3841,Louisa-Muscatine,59,66,89.40,80.1 - 90%
2015,2011,7029,Williamsburg,94,98,95.90,90.1 - 100%
2013,2009,1359,Colo-Nesco,33,37,89.20,80.1 - 90%
2014,2010,2727,Grundy Center,41,44,93.20,90.1 - 100%
2013,2009,1503,Creston,101,110,91.80,90.1 - 100%
2010,2006,1431,Corning,42,44,95.50,90.1 - 100%
2012,2008,0999,Carroll,133,143,93.00,90.1 - 100%
2015,2011,6983,West Lyon,50,54,92.60,90.1 - 100%
2009,2005,3154,Iowa Valley,54,56,96.40,90.1 - 100%
2014,2010,1062,Center Point-Urbana,94,103,91.30,90.1 - 100%
2014,2010,4509,Morning Sun,14,17,82.40,80.1 - 90%
2014,2010,2682,GMG,38,39,97.40,90.1 - 100%
2015,2011,1963,East Buchanan,32,35,91.40,90.1 - 100%
2010,2006,3348,Kingsley-Pierson,42,44,95.50,90.1 - 100%
2012,2008,2826,Harlan,104,110,94.60,90.1 - 100%
2010,2006,6615,Van Meter,52,52,100.00,90.1 - 100%
2016,2012,0472,Ballard,110,117,94.00,90.1 - 100%
2013,2009,5325,Prairie Valley,57,61,93.40,90.1 - 100%
2014,2010,3186,Janesville,39,39,100.00,90.1 - 100%
2012,2008,1926,Durant,46,54,85.20,80.1 - 90%
2012,2008,7038,Wilton,64,72,88.90,80.1 - 90%
2014,2010,2088,Emmetsburg,60,66,90.90,90.1 - 100%
2013,2009,3204,Jesup,44,46,95.70,90.1 - 100%
2012,2008,4778,North Kossuth,24,25,96.00,90.1 - 100%
2013,2009,1970,East Union,30,32,93.80,90.1 - 100%
2011,2007,1082,Central DeWitt,135,149,90.60,90.1 - 100%
2017,2013,4725,Newton,172,195,88.20,80.1 - 90%
2014,2010,4212,Melcher-Dallas,14,16,87.50,80.1 - 90%
2015,2011,0873,North Iowa,33,35,94.30,90.1 - 100%
2010,2006,0027,Adel-DeSoto-Minburn,103,111,92.80,90.1 - 100%
2012,2008,2097,English Valleys,32,34,94.10,90.1 - 100%
2017,2013,5163,Pekin,48,49,98.00,90.1 - 100%
2011,2007,4797,Norwalk,180,186,96.80,90.1 - 100%
2017,2013,1602,Danville,47,49,95.90,90.1 - 100%
2017,2013,3841,Louisa-Muscatine,51,57,89.50,80.1 - 90%
2014,2010,0513,Baxter,33,33,100.00,90.1 - 100%
2016,2012,3231,Johnston,463,481,96.30,90.1 - 100%
2017,2013,4572,Murray,26,26,100.00,90.1 - 100%
2015,2011,6100,South Winneshiek,49,50,98.00,90.1 - 100%
2017,2013,5013,Oskaloosa,156,174,89.70,80.1 - 90%
2011,2007,1218,Clay Central-Everly,28,29,96.60,90.1 - 100%
2010,2006,3119,Interstate 35,71,72,98.60,90.1 - 100%
2016,2012,6462,Tri-County,17,17,100.00,90.1 - 100%
2016,2012,4122,Martensdale-St Marys,33,36,91.70,90.1 - 100%
2017,2013,4617,Nevada,105,113,92.90,90.1 - 100%
2012,2008,6102,Spencer,142,159,89.30,80.1 - 90%
2014,2010,6534,Underwood,49,50,98.00,90.1 - 100%
2016,2012,5510,Riverside,43,50,86.00,80.1 - 90%
2011,2007,1107,Chariton,96,101,95.10,90.1 - 100%
2012,2008,3715,Linn-Mar,363,396,91.70,90.1 - 100%
2014,2010,1963,East Buchanan,41,43,95.40,90.1 - 100%
2015,2011,0279,Aplington-Parkersburg,56,59,94.90,90.1 - 100%
2015,2011,5139,Paton-Churdan,15,18,83.30,80.1 - 90%
2014,2010,6536,Union,92,96,95.80,90.1 - 100%
2011,2007,4662,New Hampton,78,97,80.40,80.1 - 90%
2015,2011,3231,Johnston,458,467,98.10,90.1 - 100%
2012,2008,2520,Glidden-Ralston,29,31,93.60,90.1 - 100%
2011,2007,2007,Eldora-New Providence,66,72,91.70,90.1 - 100%
2017,2013,4122,Martensdale-St Marys,41,43,95.40,90.1 - 100%
2012,2008,5607,Rock Valley,48,51,94.10,90.1 - 100%
2016,2012,0720,Bondurant-Farrar,111,119,93.30,90.1 - 100%
2011,2007,2766,H-L-V,41,44,93.20,90.1 - 100%
2013,2009,4491,Moravia,17,21,81.00,80.1 - 90%
2015,2011,5184,Perry,124,131,94.70,90.1 - 100%
2013,2009,3042,Hudson,47,47,100.00,90.1 - 100%
2011,2007,0576,Belle Plaine,43,48,89.60,80.1 - 90%
2016,2012,2493,Gilmore City-Bradgate,,,,Not Reportable
2013,2009,1152,Cherokee,70,79,88.60,80.1 - 90%
2016,2012,4599,Nashua-Plainfield,47,49,95.90,90.1 - 100%
2016,2012,0171,Alta,51,52,98.10,90.1 - 100%
2012,2008,1359,Colo-Nesco,31,32,96.90,90.1 - 100%
2012,2008,1953,Earlham,45,51,88.20,80.1 - 90%
2015,2011,3555,Lawton-Bronson,38,41,92.70,90.1 - 100%
2011,2007,0585,Bellevue,46,48,95.80,90.1 - 100%
2012,2008,4122,Martensdale-St Marys,43,44,97.70,90.1 - 100%
2017,2013,6408,Tipton,59,62,95.20,90.1 - 100%
2016,2012,1944,Eagle Grove,45,48,93.80,90.1 - 100%
2010,2006,4777,North Linn,48,51,94.10,90.1 - 100%
2016,2012,6943,West Central,29,29,100.00,90.1 - 100%
2017,2013,1953,Earlham,50,54,92.60,90.1 - 100%
2013,2009,0621,Bettendorf,297,330,90.00,80.1 - 90%
2014,2010,3204,Jesup,45,46,97.80,90.1 - 100%
2009,2005,4505,Mormon Trail,16,18,88.90,80.1 - 90%
2009,2005,3906,Lynnville-Sully,38,41,92.70,90.1 - 100%
2011,2007,0609,Benton,123,135,91.10,90.1 - 100%
2009,2005,1863,Dubuque,683,803,85.10,80.1 - 90%
2017,2013,6579,Urbandale,308,313,98.40,90.1 - 100%
2015,2011,0387,Atlantic,100,106,94.30,90.1 - 100%
2011,2007,5160,PCM,67,74,90.50,90.1 - 100%
2010,2006,6453,Treynor,45,48,93.80,90.1 - 100%
2015,2011,0513,Baxter,27,27,100.00,90.1 - 100%
2011,2007,4599,Nashua-Plainfield,58,62,93.60,90.1 - 100%
2016,2012,1431,Corning,43,45,95.60,90.1 - 100%
2017,2013,0873,North Iowa,35,38,92.10,90.1 - 100%
2012,2008,5949,Sheldon,67,74,90.50,90.1 - 100%
2013,2009,3645,Lewis Central,195,211,92.40,90.1 - 100%
2010,2006,0729,Boone,159,183,86.90,80.1 - 90%
2015,2011,3420,Lake Mills,43,45,95.60,90.1 - 100%
2015,2011,4785,North Tama County,40,44,90.90,90.1 - 100%
2013,2009,3375,Knoxville,108,128,84.40,80.1 - 90%
2015,2011,6512,Twin Cedars,21,23,91.30,90.1 - 100%
2014,2010,3744,Lisbon,42,43,97.70,90.1 - 100%
2009,2005,4995,Osage,93,100,93.00,90.1 - 100%
2017,2013,3060,Humboldt,109,115,94.80,90.1 - 100%
2013,2009,1863,Dubuque,697,782,89.10,80.1 - 90%
2015,2011,1197,Clarinda,70,79,88.60,80.1 - 90%
2017,2013,0072,Albert City-Truesdale,,,,Not Reportable
2012,2008,5325,Prairie Valley,58,61,95.10,90.1 - 100%
2013,2009,6098,South Tama County,92,101,91.10,90.1 - 100%
2015,2011,1965,Easton Valley,43,43,100.00,90.1 - 100%
2011,2007,6957,West Des Moines,624,682,91.50,90.1 - 100%
2011,2007,4041,Maquoketa,113,128,88.30,80.1 - 90%
2013,2009,3841,Louisa-Muscatine,54,62,87.10,80.1 - 90%
2013,2009,6096,Southeast Webster Grand,26,31,83.90,80.1 - 90%
2010,2006,0063,Akron Westfield,46,50,92.00,90.1 - 100%
2009,2005,6759,Wapello,44,52,84.60,80.1 - 90%
2010,2006,5325,Prairie Valley,55,58,94.80,90.1 - 100%
2012,2008,4437,Montezuma,41,43,95.40,90.1 - 100%
2016,2012,6854,Wayne,21,22,95.50,90.1 - 100%
2010,2006,4776,North Mahaska,36,38,94.70,90.1 - 100%
2011,2007,1602,Danville,33,37,89.20,80.1 - 90%
2009,2005,2169,Fairfield,127,140,90.70,90.1 - 100%
2013,2009,0918,Calamus-Wheatland,40,42,95.20,90.1 - 100%
2011,2007,2205,Farragut,11,14,78.60,70.1 - 80%
2013,2009,3348,Kingsley-Pierson,38,38,100.00,90.1 - 100%
2013,2009,0099,Alburnett,50,54,92.60,90.1 - 100%
2017,2013,4505,Mormon Trail,12,14,85.70,80.1 - 90%
2009,2005,0472,Ballard,99,101,98.00,90.1 - 100%
2011,2007,5013,Oskaloosa,173,197,87.80,80.1 - 90%
2010,2006,5895,Seymour,19,21,90.50,90.1 - 100%
2010,2006,4269,Midland,35,36,97.20,90.1 - 100%
2016,2012,1095,Central Lyon,42,45,93.30,90.1 - 100%
2017,2013,3186,Janesville Consolidated,20,20,100.00,90.1 - 100%
2009,2005,3798,Logan-Magnolia,59,62,95.20,90.1 - 100%
2014,2010,5166,Pella,143,154,92.90,90.1 - 100%
2017,2013,3330,Keota,16,17,94.10,90.1 - 100%
2017,2013,2313,Fort Dodge,213,274,77.70,70.1 - 80%
2016,2012,6102,Spencer,139,147,94.60,90.1 - 100%
2013,2009,1062,Center Point-Urbana,90,102,88.20,80.1 - 90%
2010,2006,0225,Ames,329,362,90.90,90.1 - 100%
2015,2011,4784,North Scott,229,246,93.10,90.1 - 100%
2017,2013,0261,Ankeny,654,679,96.30,90.1 - 100%
2016,2012,2520,Glidden-Ralston,30,30,100.00,90.1 - 100%
2010,2006,6093,Solon,88,94,93.60,90.1 - 100%
2017,2013,3195,Greene County,85,100,85.00,80.1 - 90%
2013,2009,0135,Allamakee,100,106,94.30,90.1 - 100%
2012,2008,6095,South Hamilton,45,51,88.20,80.1 - 90%
2009,2005,1197,Clarinda,79,85,92.90,90.1 - 100%
2012,2008,0135,Allamakee,108,110,98.20,90.1 - 100%
2012,2008,5160,PCM,90,96,93.80,90.1 - 100%
2012,2008,4572,Murray,19,20,95.00,90.1 - 100%
2009,2005,3119,Interstate 35,53,53,100.00,90.1 - 100%
2017,2013,0999,Carroll,111,119,93.30,90.1 - 100%
2012,2008,4905,Olin,,,,Not Reportable
2016,2012,6219,Storm Lake,90,149,60.40,60.1 - 70%
2014,2010,0882,Burlington,219,283,77.40,70.1 - 80%
2009,2005,1053,Cedar Rapids,989,1212,81.60,80.1 - 90%
2009,2005,2673,Nodaway Valley,68,70,97.10,90.1 - 100%
2015,2011,4779,North Polk,80,81,98.80,90.1 - 100%
2011,2007,3465,Lamoni,29,31,93.60,90.1 - 100%
2009,2005,0999,Carroll,109,132,82.60,80.1 - 90%
2010,2006,5625,Rockwell City-Lytton,38,40,95.00,90.1 - 100%
2011,2007,1413,Coon Rapids-Bayard,27,32,84.40,80.1 - 90%
2014,2010,2673,Nodaway Valley,38,40,95.00,90.1 - 100%
2014,2010,0846,Brooklyn-Guernsey-Malcom,40,40,100.00,90.1 - 100%
2012,2008,0549,Bedford,36,39,92.30,90.1 - 100%
2010,2006,0549,Bedford,36,39,92.30,90.1 - 100%
2013,2009,6651,Villisca,26,29,89.70,80.1 - 90%
2011,2007,0981,Carlisle,102,120,85.00,80.1 - 90%
2011,2007,0279,Aplington-Parkersburg,50,55,90.90,90.1 - 100%
2015,2011,3141,Iowa City,789,848,93.00,90.1 - 100%
2014,2010,2097,English Valleys,30,34,88.20,80.1 - 90%
2015,2011,4437,Montezuma,37,37,100.00,90.1 - 100%
2014,2010,6840,Waverly-Shell Rock,165,173,95.40,90.1 - 100%
2014,2010,6741,East Sac County,90,92,97.80,90.1 - 100%
2016,2012,6098,South Tama County,93,96,96.90,90.1 - 100%
2015,2011,4104,Marshalltown,287,329,87.20,80.1 - 90%
2012,2008,1278,Clinton,219,265,82.60,80.1 - 90%
2009,2005,0720,Bondurant-Farrar,79,89,88.80,80.1 - 90%
2015,2011,3537,Laurens-Marathon,16,16,100.00,90.1 - 100%
2016,2012,6091,South Central Calhoun,51,53,96.20,90.1 - 100%
2011,2007,4023,Manson Northwest Webster,62,64,96.90,90.1 - 100%
2014,2010,4775,Northeast Hamilton,19,19,100.00,90.1 - 100%
2009,2005,0873,North Iowa,35,39,89.70,80.1 - 90%
2015,2011,1071,Centerville,85,95,89.50,80.1 - 90%
2010,2006,5643,Roland-Story,84,93,90.30,90.1 - 100%
2017,2013,2376,Galva-Holstein,40,41,97.60,90.1 - 100%
2015,2011,3798,Logan-Magnolia,38,41,92.70,90.1 - 100%
2012,2008,7110,Woodward-Granger,38,42,90.50,90.1 - 100%
2010,2006,0609,Benton,109,125,87.20,80.1 - 90%
2013,2009,3141,Iowa City,734,835,87.90,80.1 - 90%
2016,2012,2466,Gilbert,92,93,98.90,90.1 - 100%
2012,2008,7056,Winterset,121,124,97.60,90.1 - 100%
2011,2007,5724,Ruthven-Ayrshire,21,22,95.50,90.1 - 100%
2010,2006,4784,North Scott,235,259,90.70,90.1 - 100%
2016,2012,7098,Woodbury Central,45,46,97.80,90.1 - 100%
2016,2012,6969,West Harrison,24,25,96.00,90.1 - 100%
2015,2011,2988,Hinton,50,51,98.00,90.1 - 100%
2010,2006,1953,Earlham,44,49,89.80,80.1 - 90%
2014,2010,4777,North Linn,41,44,93.20,90.1 - 100%
2015,2011,5643,Roland-Story,72,75,96.00,90.1 - 100%
2011,2007,4491,Moravia,26,27,96.30,90.1 - 100%
2014,2010,2502,Gladbrook-Reinbeck,43,44,97.70,90.1 - 100%
2016,2012,4572,Murray,25,25,100.00,90.1 - 100%
2013,2009,5724,Ruthven-Ayrshire,16,16,100.00,90.1 - 100%
2014,2010,1134,Charter Oak-Ute,30,30,100.00,90.1 - 100%
2017,2013,3798,Logan-Magnolia,41,41,100.00,90.1 - 100%
2014,2010,6768,Washington,121,141,85.80,80.1 - 90%
2014,2010,1197,Clarinda,70,76,92.10,90.1 - 100%
2016,2012,0513,Baxter,32,34,94.10,90.1 - 100%
2011,2007,6039,Sioux City,829,984,84.30,80.1 - 90%
2012,2008,6633,Ventura,14,14,100.00,90.1 - 100%
2014,2010,0333,North Union,52,52,100.00,90.1 - 100%
2014,2010,6408,Tipton,65,75,86.70,80.1 - 90%
2014,2010,3312,Keokuk,146,163,89.60,80.1 - 90%
2015,2011,4978,Orient-Macksburg,,,,Not Reportable
2011,2007,3645,Lewis Central,174,208,83.70,80.1 - 90%
2016,2012,5508,Riceville,13,15,86.70,80.1 - 90%
2014,2010,6660,Vinton-Shellsburg,91,103,88.40,80.1 - 90%
2009,2005,1152,Cherokee,79,90,87.80,80.1 - 90%
2014,2010,1093,Central Decatur,42,45,93.30,90.1 - 100%
2017,2013,0441,AHSTW,60,62,96.80,90.1 - 100%
2015,2011,4797,Norwalk,161,175,92.00,90.1 - 100%
2010,2006,6759,Wapello,39,46,84.80,80.1 - 90%
2017,2013,1278,Clinton,241,266,90.60,90.1 - 100%
2012,2008,7047,Winfield-Mt Union,30,35,85.70,80.1 - 90%
2014,2010,6094,Southeast Warren,38,40,95.00,90.1 - 100%
2017,2013,4776,North Mahaska,59,61,96.70,90.1 - 100%
2014,2010,0018,Adair-Casey,23,25,92.00,90.1 - 100%
2012,2008,0513,Baxter,22,24,91.70,90.1 - 100%
2013,2009,4033,Maple Valley-Anthon Oto,50,54,92.60,90.1 - 100%
2009,2005,6471,Tripoli,31,34,91.20,90.1 - 100%
2012,2008,2846,Harris-Lake Park,21,21,100.00,90.1 - 100%
2011,2007,3691,North Cedar,51,53,96.20,90.1 - 100%
2014,2010,1989,Edgewood-Colesburg,40,44,90.90,90.1 - 100%
2015,2011,6175,Starmont,39,40,97.50,90.1 - 100%
2009,2005,1221,Clear Creek Amana,108,123,87.80,80.1 - 90%
2009,2005,4122,Martensdale-St Marys,32,38,84.20,80.1 - 90%
2014,2010,0621,Bettendorf,344,361,95.30,90.1 - 100%
2009,2005,5325,Prairie Valley,66,69,95.70,90.1 - 100%
2015,2011,3168,IKM-Manning,57,57,100.00,90.1 - 100%
2011,2007,4122,Martensdale-St Marys,38,39,97.40,90.1 - 100%
2017,2013,0126,Algona,94,100,94.00,90.1 - 100%
2010,2006,1719,Denver,61,62,98.40,90.1 - 100%
2017,2013,4581,Muscatine,311,371,83.80,80.1 - 90%
2017,2013,4068,Marcus-Meriden-Cleghorn,32,34,94.10,90.1 - 100%
2010,2006,3029,Howard-Winneshiek,97,105,92.40,90.1 - 100%
2009,2005,1917,Boyer Valley,38,41,92.70,90.1 - 100%
2015,2011,5310,Postville,44,49,89.80,80.1 - 90%
2014,2010,1619,Davis County,69,77,89.60,80.1 - 90%
2011,2007,4869,Oelwein,93,105,88.60,80.1 - 90%
2017,2013,2295,Forest City,79,87,90.80,90.1 - 100%
2017,2013,3154,Iowa Valley,25,28,89.30,80.1 - 90%
2017,2013,6030,Sioux Center,65,86,75.60,70.1 - 80%
2013,2009,6035,Sioux Central,32,36,88.90,80.1 - 90%
2011,2007,3119,Interstate 35,63,65,96.90,90.1 - 100%
2009,2005,3042,Hudson,79,79,100.00,90.1 - 100%
2014,2010,1152,Cherokee,66,70,94.30,90.1 - 100%
2016,2012,2502,Gladbrook-Reinbeck,44,46,95.70,90.1 - 100%
2009,2005,6591,Valley,40,42,95.20,90.1 - 100%
2013,2009,1953,Earlham,31,32,96.90,90.1 - 100%
2017,2013,0603,Bennett,,,,Not Reportable
2015,2011,0918,Calamus-Wheatland,37,39,94.90,90.1 - 100%
2016,2012,3042,Hudson,56,57,98.30,90.1 - 100%
2012,2008,5163,Pekin,58,59,98.30,90.1 - 100%
2017,2013,4662,New Hampton,73,81,90.10,90.1 - 100%
2014,2010,0153,North Butler,42,43,97.70,90.1 - 100%
2010,2006,6102,Spencer,139,162,85.80,80.1 - 90%
2009,2005,0657,Eddyville-Blakesburg,53,59,89.80,80.1 - 90%
2016,2012,2088,Emmetsburg,57,57,100.00,90.1 - 100%
2010,2006,6983,West Lyon,48,51,94.10,90.1 - 100%
2010,2006,0594,Belmond-Klemme,49,49,100.00,90.1 - 100%
2011,2007,6950,West Delaware County,139,143,97.20,90.1 - 100%
2010,2006,1089,Central City,27,30,90.00,80.1 - 90%
2016,2012,4536,Mount Pleasant,147,159,92.50,90.1 - 100%
2010,2006,4788,Northwood-Kensett,40,45,88.90,80.1 - 90%
2013,2009,2682,GMG,17,18,94.40,90.1 - 100%
2009,2005,4778,North Kossuth,30,34,88.20,80.1 - 90%
2015,2011,6700,Waco,35,36,97.20,90.1 - 100%
2014,2010,1044,Cedar Falls,345,355,97.20,90.1 - 100%
2012,2008,0609,Benton,125,138,90.60,90.1 - 100%
2012,2008,6750,Walnut,14,19,73.70,70.1 - 80%
2010,2006,3942,Madrid,30,30,100.00,90.1 - 100%
2017,2013,4356,Missouri Valley,57,57,100.00,90.1 - 100%
2011,2007,1053,Cedar Rapids,1023,1253,81.60,80.1 - 90%
2016,2012,1926,Durant,56,60,93.30,90.1 - 100%
2010,2006,4689,New London,29,39,74.40,70.1 - 80%
2009,2005,1218,Clay Central-Everly,30,30,100.00,90.1 - 100%
2010,2006,4554,Mount Vernon,84,94,89.40,80.1 - 90%
2010,2006,1116,Charles City,114,125,91.20,90.1 - 100%
2016,2012,1917,Boyer Valley,22,28,78.60,70.1 - 80%
2011,2007,2124,Estherville Lincoln Central,78,90,86.70,80.1 - 90%
2017,2013,0882,Burlington,174,239,72.80,70.1 - 80%
2012,2008,1211,Clarke,72,81,88.90,80.1 - 90%
2016,2012,4860,Odebolt-Arthur,,,,Not Reportable
2014,2010,4131,Mason City,247,273,90.50,90.1 - 100%
2013,2009,1944,Eagle Grove,36,40,90.00,80.1 - 90%
2010,2006,4068,Marcus-Meriden-Cleghorn,31,32,96.90,90.1 - 100%
2016,2012,4775,Northeast Hamilton,,,,Not Reportable
2017,2013,0621,Bettendorf,357,376,95.00,90.1 - 100%
2010,2006,6097,South Page,19,20,95.00,90.1 - 100%
2013,2009,6012,Sigourney,37,40,92.50,90.1 - 100%
2012,2008,4617,Nevada,93,103,90.30,90.1 - 100%
2012,2008,6219,Storm Lake,91,162,56.20,50.1 - 60%
